time,x,y,z,abs avg
1.494,0.265,0.400,0.951,0.538667
1.494,0.276,0.396,0.948,0.54
1.495,0.270,0.381,0.935,0.528667
1.498,0.268,0.357,0.927,0.517333
1.499,0.269,0.334,0.932,0.511667
1.502,0.266,0.322,0.919,0.502333
1.505,0.270,0.312,0.910,0.497333
1.506,0.269,0.305,0.909,0.494333
1.509,0.264,0.298,0.909,0.490333
1.512,0.256,0.301,0.904,0.487
1.514,0.255,0.299,0.903,0.485667
1.517,0.247,0.295,0.901,0.481
1.520,0.239,0.287,0.899,0.475
1.522,0.237,0.281,0.900,0.472667
1.525,0.233,0.283,0.904,0.473333
1.528,0.222,0.294,0.906,0.474
1.529,0.219,0.306,0.912,0.479
1.532,0.221,0.319,0.917,0.485667
1.534,0.224,0.328,0.917,0.489667
1.536,0.229,0.331,0.912,0.490667
1.539,0.232,0.332,0.920,0.494667
1.542,0.238,0.335,0.916,0.496333
1.544,0.232,0.335,0.927,0.498
1.546,0.233,0.335,0.932,0.5
1.549,0.246,0.330,0.929,0.501667
1.551,0.256,0.346,0.917,0.506333
1.553,0.260,0.352,0.929,0.513667
1.557,0.258,0.366,0.925,0.516333
1.558,0.268,0.371,0.932,0.523667
1.562,0.274,0.367,0.930,0.523667
1.563,0.275,0.375,0.915,0.521667
1.566,0.264,0.363,0.946,0.524333
1.569,0.268,0.354,0.935,0.519
1.570,0.279,0.340,0.941,0.52
1.574,0.265,0.324,0.947,0.512
1.576,0.267,0.299,0.964,0.51
1.577,0.267,0.294,0.959,0.506667
1.581,0.256,0.294,0.976,0.508667
1.583,0.251,0.295,0.972,0.506
1.586,0.246,0.283,0.976,0.501667
1.588,0.243,0.280,0.977,0.5
1.593,0.233,0.273,0.967,0.491
1.594,0.227,0.269,0.967,0.487667
1.596,0.228,0.277,0.956,0.487
1.598,0.225,0.284,0.944,0.484333
1.602,0.218,0.292,0.936,0.482
1.605,0.219,0.303,0.931,0.484333
1.619,0.220,0.305,0.921,0.482
1.620,0.221,0.315,0.904,0.48
1.621,0.234,0.325,0.888,0.482333
1.621,0.182,0.392,0.877,0.483667
1.621,-0.092,0.849,0.698,0.546333
