time,x,y,z,gforce
1.257,0.281,-0.107,0.894,0.943
1.260,0.271,-0.093,0.902,0.947
1.263,0.263,-0.081,0.919,0.959
1.265,0.264,-0.069,0.898,0.938
1.267,0.263,-0.063,0.937,0.975
1.270,0.264,-0.071,0.921,0.960
1.272,0.255,-0.064,0.949,0.985
1.275,0.256,-0.038,0.943,0.978
1.278,0.254,-0.057,0.963,0.997
1.280,0.252,-0.041,0.956,0.989
1.282,0.258,-0.011,0.944,0.978
1.284,0.226,-0.010,0.968,0.994
1.287,0.246,-0.023,0.967,0.998
1.289,0.271,-0.031,0.930,0.970
1.292,0.261,-0.013,0.921,0.957
1.294,0.262,-0.023,0.937,0.973
1.297,0.269,-0.014,0.896,0.936
1.300,0.262,-0.023,0.923,0.959
1.303,0.265,-0.024,0.905,0.943
1.304,0.271,-0.038,0.912,0.952
1.308,0.271,-0.043,0.909,0.949
1.309,0.271,-0.061,0.906,0.948
1.311,0.260,-0.062,0.922,0.960
1.315,0.268,-0.064,0.911,0.952
1.317,0.262,-0.059,0.926,0.964
1.321,0.262,-0.059,0.926,0.964
1.322,0.242,-0.044,0.906,0.939
1.324,0.231,-0.042,0.880,0.910
1.326,0.249,-0.203,0.920,0.974
1.329,0.176,-0.229,0.908,0.952
1.332,0.295,-0.128,0.949,1.002
1.333,0.254,0.046,0.878,0.915
1.336,0.206,0.109,1.012,1.038
1.338,0.247,-0.088,1.016,1.049
1.341,0.214,-0.002,0.992,1.015
1.343,0.367,0.097,1.015,1.084
1.347,0.287,0.141,0.831,0.891
1.348,0.112,0.129,1.101,1.114
1.351,0.456,-0.193,0.913,1.038
1.354,0.266,0.088,0.987,1.026
1.356,0.245,0.233,1.063,1.116
1.358,0.257,0.084,0.891,0.931
1.360,0.159,0.153,1.055,1.078
1.364,0.302,0.040,0.937,0.985
1.366,0.171,0.051,1.047,1.062
1.368,0.376,-0.152,0.925,1.010
1.370,0.423,-0.084,0.947,1.040
1.374,0.240,0.018,0.990,1.019
1.375,0.300,-0.008,0.868,0.919
1.378,0.222,0.057,0.984,1.011
1.382,0.261,-0.011,0.721,0.767
1.383,0.225,-0.228,0.893,0.949
1.386,0.186,-0.249,0.993,1.041
1.388,0.342,-0.070,0.782,0.856
1.390,0.261,-0.213,0.820,0.887
1.392,0.089,-0.247,1.098,1.129
1.396,0.331,-0.208,0.797,0.888
1.404,0.274,-0.285,0.847,0.934
1.404,0.146,-0.082,0.956,0.970
1.405,0.235,-0.104,0.709,0.755
1.405,0.127,-0.208,0.978,1.008
1.407,0.244,-0.138,0.811,0.858
1.425,0.285,-0.120,0.795,0.853
1.426,0.160,-0.040,0.921,0.936
1.426,0.301,-0.096,0.831,0.889
1.426,0.222,-0.042,0.884,0.912
1.426,0.277,-0.077,0.959,1.001
1.427,0.355,-0.017,0.841,0.912
1.427,0.288,0.029,0.976,1.018
1.427,0.322,0.048,1.055,1.104
1.431,0.326,0.039,0.985,1.038
1.432,0.364,0.013,1.138,1.195
1.434,0.413,-0.039,1.071,1.149
1.436,0.408,-0.092,1.142,1.216
1.440,0.335,-0.078,1.214,1.262
1.441,0.397,-0.087,1.169,1.238
1.444,0.375,-0.086,1.207,1.267
1.448,0.395,-0.053,1.139,1.207
1.449,0.334,-0.066,1.151,1.200
1.452,0.280,-0.033,1.147,1.181
1.455,0.289,-0.063,1.102,1.141
1.456,0.247,-0.082,1.051,1.083
1.459,0.226,-0.128,1.028,1.060
1.461,0.202,-0.168,0.983,1.017
1.465,0.172,-0.197,0.944,0.980
1.466,0.146,-0.222,0.950,0.987
1.468,0.132,-0.214,0.876,0.911
1.471,0.118,-0.200,0.864,0.895
1.473,0.073,-0.159,0.844,0.862
1.476,0.111,-0.145,0.780,0.801
1.479,0.083,-0.120,0.799,0.812
1.481,0.117,-0.127,0.756,0.776
1.483,0.136,-0.139,0.733,0.758
1.486,0.144,-0.155,0.773,0.801
1.488,0.204,-0.169,0.729,0.775
1.491,0.214,-0.163,0.758,0.804
1.493,0.243,-0.169,0.806,0.859
1.497,0.293,-0.147,0.777,0.844
1.498,0.307,-0.128,0.848,0.911
1.501,0.333,-0.116,0.887,0.954
1.503,0.371,-0.122,0.903,0.984
1.506,0.374,-0.117,0.950,1.028
1.508,0.402,-0.113,0.964,1.051
1.510,0.417,-0.114,0.995,1.085
1.515,0.427,-0.101,1.027,1.117
1.516,0.460,-0.088,1.022,1.124
1.518,0.456,-0.067,1.051,1.148
1.520,0.459,-0.047,1.044,1.142
1.523,0.461,-0.027,1.040,1.138
1.525,0.452,-0.012,1.045,1.139
1.527,0.457,-0.001,1.022,1.120
1.531,0.442,0.001,1.009,1.101
1.533,0.441,-0.011,0.996,1.090
1.535,0.422,-0.010,0.983,1.070
1.537,0.418,-0.009,0.969,1.055
1.540,0.396,-0.003,0.953,1.032
1.542,0.380,-0.003,0.942,1.015
1.546,0.375,-0.006,0.925,0.999
1.548,0.360,0.000,0.907,0.976
1.549,0.356,-0.025,0.901,0.969
1.552,0.358,-0.039,0.887,0.958
1.554,0.375,-0.075,0.861,0.942
1.558,0.364,-0.122,0.873,0.954
1.560,0.379,-0.169,0.846,0.943
1.563,0.386,-0.212,0.848,0.956
1.565,0.390,-0.237,0.850,0.964
1.567,0.393,-0.260,0.831,0.955
1.570,0.398,-0.272,0.839,0.967
1.572,0.396,-0.290,0.840,0.973
1.574,0.396,-0.295,0.854,0.987
1.577,0.407,-0.313,0.865,1.005
1.580,0.402,-0.331,0.876,1.019
1.582,0.411,-0.342,0.877,1.027
1.585,0.427,-0.354,0.882,1.042
1.588,0.432,-0.351,0.885,1.046
1.590,0.442,-0.350,0.886,1.050
1.592,0.439,-0.342,0.891,1.051
1.597,0.452,-0.328,0.896,1.056
1.597,0.454,-0.311,0.882,1.040
1.599,0.453,-0.305,0.910,1.062
1.601,0.463,-0.294,0.904,1.057
1.604,0.459,-0.286,0.909,1.058
1.606,0.459,-0.284,0.918,1.065
1.609,0.467,-0.295,0.913,1.067
1.612,0.454,-0.289,0.937,1.081
1.614,0.455,-0.260,0.936,1.072
1.616,0.445,-0.218,0.926,1.050
1.619,0.437,-0.191,0.935,1.049
1.621,0.440,-0.166,0.918,1.032
1.623,0.446,-0.160,0.920,1.035
1.626,0.449,-0.152,0.907,1.024
1.635,0.457,-0.143,0.897,1.016
1.636,0.466,-0.139,0.891,1.015
1.636,0.468,-0.134,0.898,1.022
1.637,0.489,-0.134,0.873,1.010
